Participant,GoodBad,Angle1,Angle2,Angle3,Angle4
1,2,12.0251,7.961,73.5723,78.3743
1,2,12.3434,8.0315,73.3495,78.2742
1,2,12.878,8.3556,73.0369,78.0814
1,2,13.5513,8.8885,72.6496,77.7595
1,2,14.7043,9.5664,71.9786,77.2899
1,2,15.4886,10.1775,71.4734,76.7757
1,2,15.9333,10.9427,71.179,76.099
1,2,15.8775,11.8731,71.1946,75.2263
1,2,16.0441,13.2749,71.0359,73.6969
1,2,16.8709,14.4146,70.4142,72.3455
1,2,18.9982,16.0419,68.9009,70.4703
1,2,20.7244,17.504,67.7079,68.7241
1,2,21.9699,18.8515,66.7967,67.1729
1,2,23.5645,21.6658,65.4711,63.7673
1,2,24.6465,23.4759,64.556,61.3169
1,2,26.2896,25.818,63.0659,57.8152
1,2,27.4737,27.4898,62.0275,55.2251
1,2,28.4839,29.2574,61.1021,52.6105
1,2,28.7405,30.5349,60.8734,50.5805
1,2,29.1142,31.9477,60.7285,48.2175
1,2,29.6476,32.9385,60.2878,46.5202
1,2,30.4995,33.7839,59.4858,45.2948
1,2,31.7546,35.1776,58.4079,43.4227
1,2,32.5886,36.3503,57.8248,41.8626
1,2,33.1795,37.3466,57.5923,40.5174
1,2,33.5932,38.4368,57.9766,39.3077
1,2,33.8186,39.4313,58.3952,38.2498
1,2,34.6734,40.4811,58.0397,37.3012
1,2,35.696,41.4466,57.4058,36.4745
1,2,37.5644,42.9625,56.7226,34.3732
1,2,38.6278,44.7749,56.2958,32.0401
1,2,39.9764,46.7131,56.3714,30.5272
1,2,41.5859,47.8845,56.2635,30.5149
1,2,43.3936,49.0029,55.8884,30.31
1,2,45.3547,50.38,55.1658,30.3325
1,2,47.5495,51.5412,54.2533,30.901
1,2,49.4533,52.5226,53.498,31.3983
1,2,51.3283,54.0775,53.2371,32.3271
1,2,52.6002,55.1517,53.5252,33.6915
1,2,53.731,56.1957,53.8233,34.5116
1,2,55.064,57.3813,54.0149,35.4169
1,2,56.1226,58.4149,53.955,36.2724
1,2,56.7054,59.0402,54.0173,36.7303
1,2,57.6041,59.7629,54.1491,37.1633
1,2,57.9613,59.9479,54.4796,37.242
1,2,57.7921,59.517,54.9725,37.6221
1,2,57.2002,58.5525,55.8289,38.8199
1,2,56.605,57.8602,56.512,40.1995
1,2,55.7862,57.5144,57.6115,41.7829
1,2,55.1247,56.655,58.5431,45.1945
1,2,54.4065,55.231,59.9365,49.054
1,2,52.6297,53.5994,64.4286,53.7751
1,2,50.2766,52.0421,69.9403,58.3859
1,2,47.6131,49.2701,78.1167,66.6754
1,2,46.113,47.2092,85.8064,73.6669
1,2,44.6399,45.1099,95.7477,82.9261
1,2,43.5097,44.117,104.4686,95.0044
1,2,43.0335,43.8971,109.8422,104.3666
1,2,42.9577,44.3864,116.404,119.3093
1,2,43.8488,44.332,122.0001,130.1442
1,2,45.6923,44.9081,126.9116,136.5234
1,2,47.416,44.9737,130.3539,141.0908
1,2,48.5722,45.5293,132.2409,144.7462
1,2,48.929,45.5242,132.8209,145.4601
1,2,48.9554,45.75,132.7217,146.5811
1,2,48.7283,45.8869,132.3276,146.6254
1,2,48.7356,45.9032,132.1583,145.7455
1,2,48.4205,46.3623,131.7342,144.9113
1,2,47.7822,46.5313,131.077,142.7445
1,2,47.6915,46.6739,130.9888,139.6125
1,2,47.0381,46.8912,130.2472,136.3326
1,2,44.773,47.0891,127.047,131.9572
1,2,43.6395,46.6634,124.1977,125.9975
1,2,42.7318,45.1566,117.3524,113.4048
1,2,42.6178,43.9658,107.6261,106.1787
1,2,49.6888,44.0902,83.0547,93.3204
1,2,56.3943,46.9141,70.78,82.7505
1,2,59.5493,51.453,67.6693,73.1847
1,2,62.9861,56.8781,60.6396,58.2046
1,2,68.3919,63.0425,50.5056,43.4304
1,2,75.7813,70.8853,39.1217,32.7929
1,2,82.9082,78.0913,28.4368,33.6788
1,2,92.0319,83.5641,14.505,38.6839
1,2,94.591,82.6511,10.4567,37.5827
1,2,97.707,83.362,6.811,38.1945
1,2,98.6423,84.3455,6.6212,39.1389
1,2,98.3328,84.0172,6.7583,38.0072
1,2,98.7417,83.8607,6.9645,37.145
1,2,99.1235,84.365,7.0502,37.294
1,2,98.1582,83.3937,7.1759,35.9331
1,2,98.3633,82.9103,7.1758,35.3947
1,2,97.5476,81.8446,7.8423,34.4496
1,2,96.1768,77.3009,9.4335,31.9646
1,2,90.8466,71.9962,16.7487,32.8523
1,2,81.2442,66.9646,30.5615,38.1869
1,2,74.32,62.0986,41.2135,46.0906
1,2,67.6711,57.8414,52.5,56.7337
1,2,60.5667,55.0014,64.1328,66.7425
1,2,54.6096,52.8825,74.8659,73.3823
1,2,50.9948,51.0275,85.5919,81.7532
1,2,49.3368,50.2631,97.8508,89.968
1,2,50.8015,49.4416,114.7636,100.9054
1,2,52.8637,49.7621,123.633,108.6355
1,2,56.1559,52.2981,134.6214,124.9847
1,2,56.5992,53.5764,136.4054,134.1576
1,2,56.6652,53.1697,136.5553,137.5824
1,2,56.1016,53.2555,135.8759,142.4541
1,2,55.031,52.6859,134.8043,142.9685
1,2,53.913,52.2978,133.5901,143.3875
1,2,53.2602,51.8747,132.9182,143.3837
1,2,52.7419,51.2314,132.3176,141.8386
1,2,52.3641,51.0232,131.7944,140.5719
1,2,52.3565,51.1866,131.6872,139.4056
1,2,52.6208,50.8081,131.8285,135.9171
1,2,52.3268,50.5098,131.3548,131.0405
1,2,51.0684,50.5828,129.4477,127.3326
1,2,50.7257,50.42,127.7647,121.661
1,2,49.0091,49.7506,122.9918,112.8203
1,2,47.9649,49.6854,115.0551,102.0391
1,2,49.4359,50.7776,106.8278,93.3697
1,2,50.8865,50.8873,97.1959,82.5474
